"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"07/2000",2522,42,1,,2,5,,17,,,140,51,409,57,,123,2,,92,9,,386,,,1,168,29,,7,,6,,3,,,5,,,10,52,,58,10,119,1,,53,149,,,,,1,36,177,4,,5,47,,,,19,2,168,,7,39,10,,1908,,,1,,,,,,2,492,8,57,,222,,,586,,154,1,9,,5,,30,,99,6,6,4,4,25,1,16,8,3,2,43,4,,,,1,9,,109,,1,,401,,,1,1,121,105,53,,,10,,55,3,3,,49
"08/2000",2427,29,,,,4,,21,,,160,62,370,52,2,126,1,,97,9,,371,,,,171,33,,7,,,,6,,,6,,,17,37,,63,21,83,,,40,156,,1,,,,55,173,2,,3,24,,,,23,4,153,,6,24,15,,1843,,,,,,,,,,477,6,74,1,200,,,590,,150,,6,,,,34,,80,3,5,1,2,18,,9,6,5,,39,5,,,,1,6,,119,3,3,,428,,4,,3,144,95,61,,1,7,,56,2,5,,50
"09/2000",2424,31,,,2,2,,17,,,125,68,369,51,2,112,,,89,9,,378,,,,157,32,,4,,2,,5,,,11,,,8,46,,57,16,107,,1,52,131,,,2,,,60,186,3,,5,37,,,1,30,2,161,,8,30,15,,1794,,,,,,,,,3,476,4,57,,203,,,539,,145,,5,,,2,28,,98,3,1,3,1,29,,10,12,7,,31,10,,,,1,10,,112,1,3,,347,,6,,2,114,71,43,,,11,,49,2,2,,47
"10/2000",2540,40,,,1,4,,19,,,131,66,376,67,3,101,,,103,6,,368,,,2,199,42,,6,,,,5,,,13,,,4,50,,60,7,131,,,39,148,1,,,,,59,181,5,2,3,44,,,,29,1,169,,13,27,15,,1821,1,,3,,,,,,,465,5,60,,233,,,576,,124,1,6,,2,3,30,,98,4,4,4,,20,2,16,10,4,,39,4,,,,3,8,,89,4,3,,251,,2,,1,83,52,31,,,4,1,33,5,,,39
"11/2000",2362,25,,,1,3,,22,,,133,51,364,56,2,93,,,103,9,1,313,,,,179,29,,5,,1,,3,,,7,,,12,51,,56,14,104,1,,48,135,,1,,,,52,186,2,,3,39,,,,22,3,175,,10,39,9,,1627,,,2,,,,2,,,430,11,52,,203,,,518,,93,,14,,,,24,,84,2,2,3,2,18,2,4,6,9,,28,8,,,,3,6,,97,1,3,,119,,1,,1,49,17,13,,,8,,14,,,,16
"12/2000",2378,30,,,1,4,1,22,,,150,50,341,51,4,101,,,109,10,,373,,,,186,29,,5,,1,,3,,,8,,,9,40,,59,19,101,1,,30,127,,1,,,,40,146,6,,8,50,,,,36,3,168,,16,26,13,,1834,,,,,,,,,1,456,9,70,,237,,,568,,130,,10,1,,1,27,,104,4,2,1,1,19,2,8,13,5,1,34,11,,,,,10,,106,2,1,,82,,3,,,12,20,15,,,4,,12,,2,,14
"01/2001",2067,25,,,3,2,,17,,,109,58,306,49,3,91,,,64,13,,306,,,,148,30,,7,,,,4,,,8,,,10,40,,58,11,87,,,40,131,,,,,,47,158,5,,2,23,,,,24,1,135,,10,26,16,,1484,1,,,,,,,,2,396,2,45,1,173,,,456,,129,,12,,1,1,29,,78,5,2,5,1,27,3,6,10,4,,23,3,,,,,3,,63,2,1,,73,,2,,,16,25,5,,,4,,8,1,1,,11
"02/2001",1975,25,,,1,4,,24,,,113,46,292,36,1,110,,,68,9,,279,,,,153,14,,7,,1,,4,,,9,,,14,26,,40,9,92,2,,32,121,,,,,,28,145,2,,5,38,,,,23,,149,,12,29,12,,1438,,,,,,,,,,378,4,51,,167,,,438,,118,,5,,1,,21,,72,8,,,4,19,5,12,13,10,,16,6,,,,1,6,,81,1,1,,97,,,,1,25,27,14,,,4,,15,,,,11
"03/2001",2131,24,1,,,5,,20,,,115,51,322,45,3,101,2,,99,8,,316,,,,149,32,,13,,,,3,,,9,,,13,44,,50,13,99,,,44,101,,1,,,,46,141,2,,2,26,,,2,30,2,148,2,8,27,12,,1561,,,,,,1,,,1,431,6,58,,170,,,471,,126,,5,,1,2,25,,83,2,2,1,2,23,,13,12,9,,33,7,,,,1,8,,68,,,,156,,4,,2,49,30,21,,,4,,27,,2,,17
"04/2001",2194,35,,,1,4,,16,,,116,46,353,44,2,118,2,,87,10,,323,,,,152,28,,8,,3,,2,,,10,,,10,52,,45,16,92,,,36,115,,,1,,,37,145,5,,1,38,,,,25,4,166,,10,20,15,1,1562,1,,,,,,,,1,416,11,51,,166,,,481,,110,,5,,1,1,29,,80,5,2,4,4,25,2,6,19,7,,38,6,,,,1,5,,84,,1,,308,,3,,4,97,58,35,,,11,,42,1,3,,54
"05/2001",2306,33,,,3,10,,14,,,126,52,316,40,4,112,,,108,9,,352,,,,187,32,1,14,,,,3,,,13,,,14,47,,53,11,109,1,1,54,128,1,1,,,,40,158,3,1,4,29,,,,24,3,158,,9,17,11,,1792,1,,,,,,2,,1,479,3,63,,188,,,539,,144,,8,,3,4,23,,90,4,1,5,2,29,3,6,15,6,,35,7,,,,1,7,,118,4,1,,357,,4,,2,89,82,47,,,10,,59,1,2,,61
"06/2001",2246,34,,,2,4,,19,,,127,48,345,56,,92,,,99,7,1,309,,,,164,29,,4,,1,,,,,18,,,11,39,,51,22,106,1,1,37,121,,1,,,,48,164,2,,2,30,,,,33,3,158,,10,35,12,,1741,,,,,,,,,3,495,7,59,,154,,,549,,128,,24,1,,1,29,,95,3,2,3,1,20,,9,6,6,1,32,8,,,,2,3,,98,2,,,402,,4,,1,124,92,55,,,13,,45,5,6,,57
"07/2001",2398,29,,,2,3,,17,,,142,51,379,47,5,105,,,91,9,,367,,,,197,28,,5,,1,,5,,,11,,,11,45,,47,17,107,1,1,40,126,,,,,,53,172,2,,2,46,,,,20,,167,,5,31,11,,1877,,,,,,,,,2,491,11,65,1,203,,,600,,136,,11,1,1,1,34,,97,6,5,4,2,18,2,10,14,9,1,33,9,,,,3,7,,97,3,,,441,,7,,1,122,109,56,1,,10,,73,5,3,,54
"08/2001",2471,46,,,,6,,15,,,133,56,366,52,3,112,1,,116,13,,361,,,,169,35,,10,,,,5,,,16,,,13,41,,52,12,108,,,42,133,,2,,,,35,179,1,,6,47,,,,27,4,191,,17,30,16,,1859,,,,,,,,1,5,508,5,51,1,210,,,600,,137,,17,3,3,1,28,,79,6,3,,6,22,1,9,10,8,,29,10,,,,2,6,,91,5,2,,425,,4,,,126,102,56,1,,15,,68,4,2,,47
"09/2001",2275,40,,,,6,1,16,,,137,49,337,54,1,76,1,,100,14,,353,,,,161,30,,12,,1,,1,,,7,,,12,43,,50,18,87,1,,46,149,,,,,,46,169,1,,,34,,,,21,1,158,,5,26,11,,1744,,,1,,,,,,3,436,7,74,,202,,,553,,140,,16,2,1,1,20,,98,2,2,5,3,27,2,9,5,5,,23,8,,,,1,2,,92,2,2,,388,,4,,3,121,90,39,,,13,,66,2,5,,45
"10/2001",2524,41,,,3,7,,22,,,158,47,335,68,1,114,1,,105,11,,353,,,,209,45,,19,,1,,2,,,11,,,15,55,,50,18,118,1,,43,127,,,,,,46,202,2,,4,38,,,,23,2,164,,11,31,21,,1924,,,,,,,,,2,515,9,64,,236,,,579,,135,,18,2,1,,42,,103,6,5,1,3,19,3,8,13,12,,32,9,,,,4,5,,94,3,1,,271,,5,,1,85,57,34,,,9,,31,4,3,,42
"11/2001",2440,35,,,2,4,,22,,,131,50,341,49,4,98,,,105,4,,388,,,1,188,32,,11,,3,,2,,,7,,,13,42,,55,18,83,,,47,138,,,,,,61,181,2,1,5,50,,,,32,2,166,,8,43,16,,1909,1,,,,,,,,2,555,7,73,,221,,,549,,139,,17,1,1,2,25,,93,8,2,4,2,18,2,14,8,12,,27,9,,,,3,3,,106,4,1,,200,,2,,,64,47,28,,,6,,32,1,1,,19
"12/2001",2561,46,,,2,5,,22,,,126,59,373,63,4,106,,,105,13,,388,,,1,209,37,,5,,2,,4,,,15,,,16,55,,66,17,99,,,41,133,,,1,,1,59,157,,,3,48,,,,31,4,187,,4,35,19,,1968,,,,,,,1,1,4,552,5,65,,227,,,588,,143,1,18,3,1,1,16,,94,7,2,2,3,19,5,16,12,3,1,40,8,,,,3,5,,117,3,2,,142,,4,,,34,40,15,,,6,,18,2,2,,21
"01/2002",2256,27,2,,1,5,,16,,,138,51,338,45,1,89,,,90,8,,328,,,,185,30,,7,,,,8,,,16,,,6,41,,56,13,101,,,38,124,,,1,,,51,155,7,,4,43,,,1,24,3,151,,9,33,10,,1716,,,1,,,,2,,,445,7,49,1,204,,,533,,122,,17,3,1,2,22,,105,2,,6,5,13,2,10,19,9,,31,6,,,,1,4,,91,2,1,,102,,2,,,30,23,12,,,4,,15,,,,16
"02/2002",1974,31,,,,2,,22,,,93,55,296,45,2,90,,,82,11,,279,,,,153,29,,7,,,,3,,,3,,,9,36,,38,13,82,,1,46,103,,,,,,44,150,4,,2,35,,,,17,3,153,,5,20,10,,1525,,,,,,,,,2,418,7,49,,159,,,464,,117,,13,1,,,19,,96,2,4,2,4,12,1,10,8,5,,25,7,,,,2,7,,89,1,1,,127,,2,,,46,24,17,,,6,,20,2,,,10
"03/2002",2284,42,1,,1,4,,19,,,103,52,332,48,6,110,2,,90,18,,336,,,2,195,39,,3,,2,,1,,,12,,,12,46,,71,11,82,,1,52,121,,,,,,44,145,2,,3,32,,,2,29,2,158,,7,32,14,,1754,1,,,,,,,3,3,451,3,54,,208,,,559,,127,1,12,2,1,2,33,,93,10,3,,6,16,3,6,12,5,,24,10,,,,3,6,,93,,4,,184,,1,,1,62,40,20,1,,10,,16,1,,,32
"04/2002",2142,28,,,,3,,18,,,116,51,317,54,4,84,,,87,6,,357,,,,170,28,,8,,,,3,,,7,,,13,37,,45,14,74,1,,50,105,,1,,,,53,163,2,,5,35,,,,8,4,140,1,10,27,13,,1621,3,,1,,,,2,,1,419,7,52,,201,,,467,,136,,8,,1,,30,,105,8,5,1,4,20,1,7,13,5,,24,8,,,,1,7,,82,1,1,,259,,4,,1,91,56,38,,,7,,30,1,1,,30
"05/2002",2317,26,1,,2,5,,16,,,145,35,314,59,8,107,,,114,9,,354,,,,181,35,,3,,,,5,,,13,,,11,38,,62,14,105,,,51,115,,,1,,,31,145,5,,8,45,,,,16,4,164,1,13,37,18,1,1814,,,,,,,,1,5,474,7,60,,212,,,538,,149,,14,1,4,1,26,,103,4,4,,3,22,3,11,17,11,,26,7,,,,,4,,103,3,1,,374,,5,,,112,97,45,2,,10,,49,3,1,,50
"06/2002",2291,35,,,,7,,16,,,119,52,304,64,2,111,1,,106,10,,324,,,,177,37,,5,,1,,3,,,12,,,12,44,,43,16,112,,,47,112,,1,,,,46,175,4,,2,49,,,,24,1,153,1,21,30,12,,1891,2,,,,,,1,,2,491,16,61,,230,,,586,,131,,13,,,,39,,97,8,7,1,2,14,3,13,9,6,,37,4,,,,3,3,,111,1,,,451,,4,,1,151,112,48,,,9,,64,4,4,,54
"07/2002",2369,26,,,1,3,,23,,,124,55,343,46,6,100,,,96,11,,354,,,1,187,32,,6,,2,,5,,,18,,,9,39,,56,24,105,1,1,55,123,,1,,,,42,166,1,,6,52,,,,17,4,158,1,15,41,13,,1948,,,1,,,,,1,1,519,13,63,,215,,,599,,121,,17,1,1,2,42,,103,9,1,3,4,14,2,14,19,7,,31,11,,,,5,6,,117,3,3,,431,,6,,3,135,103,38,,,15,,63,1,3,,64
"08/2002",2310,35,,,,6,,19,,,132,65,316,54,3,106,,,121,7,,324,,,,201,30,,14,,,,1,,,15,,,15,34,,46,14,78,,,61,112,,,1,,,49,157,9,,1,37,,,,17,3,167,,5,43,12,,1988,,,,,,,1,,5,535,12,62,,237,,,603,,153,,17,1,1,,27,,103,7,2,1,2,22,4,15,17,3,1,18,7,,,,2,6,,121,3,,,482,,2,,,169,117,54,,,9,,69,4,2,,56
"09/2002",2330,32,,,2,2,,24,,,129,49,352,65,3,98,,,95,5,,301,,,,174,34,,10,,1,,5,,,12,,,13,51,,60,13,82,,,47,126,,,,,1,45,190,3,,5,41,,,,27,2,176,,6,38,11,,1802,1,,,,,,,2,2,485,6,53,,223,,,610,,103,1,12,1,,,28,,98,6,2,1,1,9,4,6,12,14,,14,7,,,,3,6,,89,3,,,431,,4,,5,140,94,49,1,,15,,65,3,4,,51
"10/2002",2406,40,,,2,2,,24,,,156,39,335,57,3,112,,,115,8,,360,,,1,159,33,,6,,,,5,,,13,,,20,51,,61,12,103,,,67,120,,,,,,49,150,1,1,7,42,,,,17,1,162,,12,44,16,,1920,1,,,,,,3,,4,514,13,48,,231,,,562,,152,1,12,1,1,1,24,,118,8,3,2,3,24,3,11,13,8,1,23,13,,,1,3,6,,108,2,2,,249,,1,,4,79,54,28,,,5,,39,1,1,,37
"11/2002",2313,38,,,,5,,17,,,136,45,343,49,4,92,,,105,4,,302,,,,177,33,,11,,,,1,,,16,,,9,42,,53,15,87,,,53,128,,1,,,,39,184,2,,8,51,,,,16,4,183,,11,32,17,,1806,1,,1,,,,1,1,5,468,4,63,,200,,,554,,112,,17,1,1,2,28,,106,6,3,1,3,26,5,14,9,7,,22,6,,,,2,6,,127,3,1,,178,,1,,2,53,45,21,,,6,,22,2,1,,25
"12/2002",2383,30,,,1,9,,20,,,128,60,348,57,6,100,1,,102,4,1,326,,,,174,40,,7,,1,,6,,,16,,,23,37,,57,18,84,1,1,50,117,,1,,,,50,185,1,,3,44,,,,29,3,183,,14,28,17,,1902,,,,,,,,1,2,469,11,65,,244,,,573,,135,,19,2,4,2,39,,109,6,2,2,4,22,3,8,10,10,,31,8,,,,1,9,,110,1,,,93,,1,,,29,19,15,,,7,,11,2,2,,7
"01/2003",1947,31,,,1,2,,18,,,112,46,263,35,5,81,,,83,3,,271,,,,151,30,,8,,1,,7,,,13,,,11,27,,58,12,96,,,29,87,1,,1,,,25,165,5,,5,48,,,1,18,5,149,,8,28,7,,1695,,,,,,,,,1,433,6,37,,203,,,523,,126,,16,3,1,,26,,102,3,5,3,4,18,4,15,11,8,,25,6,,,1,2,9,,100,2,2,,85,,,,,30,15,11,,,4,,15,,,,10
"02/2003",1778,30,,,,2,,7,,,100,48,253,37,3,84,,,83,2,,268,,,,155,35,,9,,2,,1,,,11,,,9,33,,37,12,66,,,47,76,,,,,,18,102,,,3,42,,,,18,1,139,,7,26,12,,1477,1,,,,,,2,,3,365,13,52,,173,,,458,,122,,12,3,2,,26,,76,5,3,3,,10,3,15,7,6,,18,3,,,2,3,6,,81,3,1,,98,,,,,26,30,8,,,4,,17,,1,,12
"03/2003",2042,28,,,2,3,,19,,,121,44,303,61,1,83,,,96,4,,288,,,1,161,29,,7,,2,,8,,,11,,,15,27,,37,14,90,,,34,110,,,,,,28,139,3,,4,46,,,,12,4,161,,5,30,11,,1665,1,,,,,,,,1,426,8,58,,207,,,514,,116,,15,1,2,1,24,,96,5,2,3,2,25,,9,8,5,,31,4,,,3,1,7,,89,1,,,216,,3,1,,72,50,16,,,12,,30,2,,,30
"04/2003",2194,37,,,1,7,,16,,,138,42,324,48,3,101,1,,82,5,,327,,,,205,33,,7,,,,2,,,20,,,8,51,,43,14,93,,,35,97,,1,1,,,28,148,3,,5,50,,,,19,3,146,,8,28,14,,1726,3,,,,,,,,2,472,8,54,,196,,,555,,126,,13,2,1,,16,,97,5,2,3,4,17,2,15,10,7,,17,10,,,1,3,2,,82,1,,,376,,7,,,124,86,35,,,12,,61,1,2,,48
"05/2003",2250,41,,,,6,,23,,,115,52,330,57,3,90,,,97,11,,335,,,,160,34,,6,,,,4,,,16,,,10,53,,51,19,99,,,44,99,,,,,,35,151,1,,5,45,,,,30,3,162,,9,35,18,1,1814,2,,1,,,,,2,2,461,10,61,1,229,,,547,,143,1,22,2,1,1,21,,95,6,1,2,,17,1,11,13,10,,32,7,,,2,2,7,,97,3,1,,373,,2,,1,128,76,40,,,9,,62,1,4,,50
"06/2003",2253,46,,,,8,,21,,,116,56,333,50,6,95,,,87,9,,319,,,,179,31,,6,,,,3,,,10,,,23,35,,47,14,104,,1,49,102,1,,,,,34,171,,,2,47,,,,29,3,172,,7,27,10,,1866,1,,,,,,1,1,,483,14,67,,220,,,550,1,140,,14,2,4,1,20,,117,15,8,2,4,17,2,11,10,9,1,31,8,,,,1,4,,102,4,1,,460,,1,,2,139,97,56,,,13,,77,4,3,,68
"07/2003",2276,38,1,,1,3,,21,,,135,56,326,57,3,91,,,97,6,,330,,,,183,31,,6,,,,5,,,12,,,19,45,,45,20,88,1,,68,107,,1,,,1,35,153,1,,4,46,,,,20,2,163,,3,32,20,,2051,1,,,,,,1,3,2,507,12,80,,231,,,592,,177,,23,2,1,2,32,,115,10,5,4,3,19,,20,16,14,1,26,7,,,,4,13,,127,,1,,509,,8,,2,175,103,58,1,,14,,66,,,,82
"08/2003",2390,44,,,,7,1,31,,,117,48,327,66,4,106,1,,93,14,,344,,,,225,38,,12,,,,4,,,24,,,11,45,,58,22,108,,,43,88,,2,,,,35,163,5,,4,44,,,,23,4,154,1,9,52,13,,2106,,,,,,,1,1,2,575,14,63,,228,,,628,1,164,,22,3,1,,19,,118,10,4,5,4,22,2,16,13,12,,29,7,,,,4,7,,126,3,1,1,536,,4,,2,179,106,55,2,,25,,77,3,1,,82
"09/2003",2222,26,,,,9,,22,,,125,33,281,50,6,107,1,,101,9,,314,,,,181,41,,9,,,,2,,,18,,,16,42,,68,20,79,,,44,101,,3,2,,,33,159,6,,1,46,,,,19,3,189,,12,29,15,,1833,,,1,,,,1,1,7,468,10,62,,213,,,577,,128,1,17,2,,2,16,,105,11,9,4,4,19,5,5,15,7,1,17,8,,,1,3,7,,102,3,1,,472,,4,,1,166,94,49,,,18,,83,,3,,54
"10/2003",2460,28,,,1,5,,25,,,138,52,334,49,3,110,,,116,6,,372,,,,203,48,,6,,1,,7,,,13,,,13,43,,63,27,102,,1,51,122,,1,,,,35,158,2,,6,52,,,,24,3,182,,16,28,14,,2062,1,,,,,,1,1,6,551,12,54,,244,,,646,,149,,24,2,,,25,,113,9,7,5,3,22,,15,11,4,2,27,6,,,1,6,10,1,98,5,1,,351,,4,,2,122,68,24,,,14,,60,1,5,,51
"11/2003",2522,41,,,,6,,27,,,128,57,324,64,7,124,,,117,11,,327,,,1,228,47,,9,,,,12,,,20,,,18,47,,64,15,95,,,44,129,,,,,,46,163,3,,7,55,,,,27,2,188,,19,37,13,,2030,2,,1,,,,,2,5,502,13,65,,257,,,624,2,124,,24,,1,2,31,,136,4,8,5,5,21,3,15,14,6,1,32,8,,,2,3,2,,109,1,,,198,,1,,1,69,48,20,,,10,,28,,,,21
"12/2003",2236,40,,,1,6,,22,,,151,46,281,74,6,94,,,84,9,,306,,,,169,34,,10,,1,,6,,,18,,,22,42,,46,17,88,,,48,103,,1,2,,,31,145,1,,7,55,,,1,20,,183,,16,42,8,,1982,2,,,,,,,1,4,514,16,53,,229,,,613,,142,,22,3,,,30,,105,7,7,6,4,26,2,12,8,4,,23,10,,,2,1,5,,128,2,1,,128,,2,,,41,25,17,,,11,,15,2,,,15
"01/2004",2075,39,,,,9,,15,,,105,36,275,54,3,92,,,88,11,,312,,,,178,27,,4,,,,7,,,20,,,10,34,,48,17,90,,,42,86,,2,,,,25,164,,,4,51,,,,20,1,158,,7,20,21,,1745,4,,4,,,,,,1,439,9,48,,204,,,506,1,134,,19,1,1,,25,,109,10,1,5,6,24,3,12,12,18,,28,8,,,1,2,6,,102,2,,,125,,1,,,37,23,14,,,3,,37,,,,10
"02/2004",1929,25,1,,,4,,23,,,90,37,246,58,11,99,,,87,4,1,278,,,,161,38,,11,,,,1,,,10,,,18,41,,40,23,72,,,54,86,,1,,,,25,131,3,,,37,,,,20,3,134,,8,29,19,,1536,2,,2,,,,,1,3,395,7,53,,148,,,479,,130,,14,3,2,,23,,92,4,1,4,3,8,3,6,10,11,,18,7,,,1,3,8,,87,5,3,,145,,1,,2,41,36,16,1,,11,,17,,1,,19
"03/2004",2033,37,,,2,3,,16,,,119,43,308,57,2,99,1,,75,9,,271,,,,165,38,,9,,,,1,,,14,,,17,38,,38,18,69,,,45,99,,1,,,,33,130,1,,5,51,,,,18,1,169,,4,22,5,,1694,1,,1,,,,2,2,4,437,13,50,,200,,,508,,128,,16,3,1,,23,,95,13,4,3,4,24,2,12,15,5,,19,10,,,3,2,7,,85,1,1,,270,,1,,2,74,61,37,,,16,,42,2,,,35
"04/2004",2086,34,,,,5,,20,,,116,51,278,46,1,93,,,98,2,,274,,,,169,29,,10,,,,4,,,19,,,15,35,,54,17,76,,,54,120,,1,1,,,30,155,4,,1,45,,,,22,2,152,1,9,30,13,,1737,1,,1,,,,,,3,424,7,45,,199,,,565,,163,,21,2,3,,19,,89,16,8,2,6,15,2,7,12,8,1,17,4,,,,3,7,,86,,1,,366,,5,,3,93,79,28,,,18,,81,1,4,,54
"05/2004",2203,32,,,,4,,23,,,111,44,307,51,2,107,,,92,4,,314,,,1,179,35,,7,,1,,4,,,22,,,22,34,,60,21,85,,,48,95,,,,,,35,160,4,,4,61,,,,26,2,155,,8,34,9,,1939,1,,3,,,,1,1,1,507,14,60,,209,,,557,1,138,,17,2,5,,29,,112,8,1,11,5,29,2,14,21,11,,21,12,1,,2,9,11,,118,,3,2,469,,1,,,158,97,48,,,21,,71,5,8,,60
"06/2004",2131,22,,,2,7,,17,,,112,52,298,53,6,115,1,,92,8,,295,,,,186,40,,8,,2,,3,,,19,,,10,42,,39,20,88,,,44,80,,3,,,,23,166,1,,3,43,,,,17,5,166,,5,26,12,,1971,2,,,,,,2,4,2,488,12,51,,258,,,632,,129,,15,3,,1,26,,102,13,2,6,6,14,3,14,10,17,,26,7,,,6,4,5,,106,2,2,1,480,,3,,2,156,106,53,,,22,,68,1,11,,58
"07/2004",2182,34,,,,4,,25,,,128,54,308,55,3,108,1,,101,5,,280,,,,209,36,,7,,,,2,,,15,,,12,25,,43,15,69,,2,39,106,,1,,,,35,159,2,,3,54,,,,17,3,146,1,2,58,15,,1967,3,,2,,,,,1,3,502,9,76,,216,,,581,1,132,,22,6,,,25,,130,10,7,7,3,14,2,10,12,14,,28,17,,,2,1,6,,120,3,2,,576,,7,,2,177,126,56,,,17,,103,5,5,,78
"08/2004",2199,41,,,,7,,24,,,141,50,278,52,3,98,,,90,7,,313,,,,208,37,,7,,1,,7,,,17,,,18,43,,44,22,90,,,45,89,,,,,,24,159,2,,1,45,,,,18,3,166,,5,36,8,,2064,2,,1,,,,,4,1,502,20,69,,248,,,626,,159,,28,2,,,22,,111,9,4,5,5,15,1,12,16,9,1,29,12,,,2,5,11,,127,5,1,,549,,6,,1,172,130,62,,,17,,78,3,5,,75
"09/2004",2032,22,,,1,6,,13,,,109,53,301,52,3,97,,,91,4,,265,,,1,174,32,,12,,1,,9,,,18,,,11,28,,49,14,74,,1,51,101,,1,,,,28,139,4,,4,42,,,,14,3,152,,3,36,13,,1857,,,2,,,,2,1,,476,10,65,,216,,,551,,143,,7,3,1,2,31,,114,3,3,8,3,15,1,17,14,6,,24,10,,,1,3,8,,116,1,,,464,,8,,1,142,111,46,2,,12,,81,3,7,,51
"10/2004",2283,33,,,,10,,19,,,89,49,317,52,1,111,,,108,6,,281,,,,217,39,,13,,,,6,,,26,,,18,41,,61,24,84,,,45,97,1,2,,,1,34,157,1,,9,72,,,,21,4,177,,6,32,19,,2012,,,,,,,1,4,6,499,17,55,,229,,,604,,169,,21,2,2,1,22,,109,4,8,2,5,19,2,8,9,15,,28,8,,,3,1,9,,146,2,1,1,349,,3,,,120,77,31,,,12,,52,2,4,,48
"11/2004",2224,39,,,,5,,21,,,113,48,301,61,3,114,,,101,2,,297,,,,194,29,,8,,,,7,,,20,,,19,42,,49,15,98,,,57,89,,1,1,,,30,147,1,,4,60,,,,21,3,164,,8,32,20,,1944,2,,2,,,,1,3,5,486,13,60,1,206,,,588,,158,,24,7,,,17,,99,7,5,7,3,24,,16,9,13,1,25,15,,,5,3,10,,125,1,2,1,191,,2,,1,64,40,15,1,,9,,32,1,2,,24
"12/2004",2311,35,,,,7,,9,,,106,59,317,55,5,115,,,99,4,,329,,,,205,52,,13,,,,4,,,18,,,16,34,,39,17,84,,,65,97,,,2,,,32,167,2,,3,48,,,,26,3,177,,13,43,11,,2029,,,3,,,,1,3,7,501,14,69,,259,,,587,,162,,27,5,,2,31,,110,11,5,6,6,19,2,14,10,11,1,20,13,,,4,6,6,,110,3,,1,136,,1,,,36,34,12,,,11,,27,,2,,13
"01/2005",1968,24,,,,5,,14,,,100,53,261,49,5,109,,,81,6,,271,,,,173,42,,11,,,,7,,,19,,,20,28,,52,19,68,,,39,88,,2,1,,,20,113,2,,3,63,,,,27,4,148,,4,26,11,,1683,3,,4,,,,1,1,6,445,11,54,,210,,,488,,103,1,23,5,,1,27,,112,8,3,2,9,21,3,9,7,4,,7,8,,,2,1,5,,95,4,,,148,,1,,,47,27,16,1,,11,,21,1,2,,21
"02/2005",1812,31,,,,4,,19,,,108,39,240,46,1,80,,,91,3,,245,,,,165,36,,19,,1,,3,,,20,,,18,24,,42,12,73,,,29,87,,1,1,,,20,113,1,,3,50,,,,7,2,134,,8,28,8,,1634,,,3,,,,2,1,5,409,17,57,,200,,,491,,102,1,27,5,1,,26,,93,11,8,4,4,17,4,10,12,6,,20,5,1,,3,3,8,,78,,,,130,,1,,1,44,26,14,,,5,,16,,1,,22
"03/2005",1959,30,1,,,10,,18,,,108,36,260,55,4,83,,,97,4,,260,,,,178,36,,4,,1,,1,,,22,,,19,31,,47,13,78,,,38,85,,2,,,,29,124,3,,4,45,,,,19,3,149,,7,37,18,,1695,2,,4,,,,,2,5,414,11,55,,215,,,491,,120,,20,3,,1,21,,106,9,5,4,7,21,,16,5,6,,24,13,,,6,4,5,,100,,,,239,,3,,1,85,45,29,,,7,,38,1,4,,26
"04/2005",2054,35,,,1,7,,24,,,98,49,278,61,3,104,,,72,1,,263,,,,196,28,,11,,,,6,,,23,,,17,46,,51,14,80,,,45,72,,1,2,,,22,159,6,,4,49,,,,29,2,141,,2,40,12,,1879,,,1,,,,2,4,4,477,16,70,,248,,,538,1,125,,9,7,2,,38,,106,11,2,5,4,18,5,18,11,6,,18,8,,,1,5,6,,112,1,,,446,,2,,3,145,98,42,,,16,,82,1,5,,52
"05/2005",2084,49,,,,5,1,27,,,116,45,253,59,3,98,,,87,7,,293,,,,186,36,,11,,,,4,,,14,,,14,32,,49,16,70,,,51,87,,,2,,,19,156,5,1,3,58,,,,19,5,160,,,33,10,,1916,,,1,,,,3,2,2,491,18,51,,217,,,589,1,134,,22,2,5,,22,,107,13,6,8,4,17,,17,14,14,1,20,8,,,4,,7,,115,1,,,487,,10,,,159,107,42,2,,15,,93,2,7,,50
"06/2005",2086,19,1,,2,3,,18,,,127,50,311,49,5,100,,,94,2,,252,,,,191,29,,8,,,,4,,,14,,,18,38,,49,19,68,,,41,88,,1,1,,,32,129,1,,,58,,,,24,8,186,,6,28,12,,1955,3,,2,,,,1,7,3,494,18,53,,207,,,577,,138,,27,8,2,,17,,115,12,4,3,4,18,5,15,14,8,,29,15,1,,3,3,5,,137,2,3,2,527,,4,,3,175,111,47,,,14,,84,3,4,,82
